text,domain,source,label_quality
"Ambiental: Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.. Competencias: gestion ambiental, ambiental, sostenibilidad, esg, iso 14001, huella de carbono, cambio climatico, biodiversidad, sostenibilidad, esg, iso 14001, huella de carbono, licenciamiento ambiental, economia circular, gestion de residuos.",ambiental,taxonomy_domains,taxonomy_seed
"Vacante para especialista en gestion ambiental, ambiental, sostenibilidad, esg, iso 14001, huella de carbono, cambio climatico, biodiversidad, sostenibilidad, esg, iso 14001, huella de carbono, licenciamiento ambiental, economia circular, gestion de residuos. Responsabilidades: Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental..",ambiental,taxonomy_domains,taxonomy_seed
"Programa academico de Ambiental orientado a gestion ambiental, ambiental, sostenibilidad, esg, iso 14001, huella de carbono, cambio climatico, biodiversidad, sostenibilidad, esg, iso 14001, huella de carbono, licenciamiento ambiental, economia circular, gestion de residuos.",ambiental,taxonomy_domains,taxonomy_seed
"Ambiental requiere sostenibilidad. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere esg. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere iso 14001. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere huella de carbono. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere licenciamiento ambiental. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere economia circular. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Ambiental requiere gestion de residuos. Gestion ambiental, sostenibilidad, biodiversidad y cumplimiento ambiental.",ambiental,skills_master,taxonomy_seed
"Energia: Gestion energetica, eficiencia, transicion y energias renovables.. Competencias: gestion energetica, energia, energetica, eficiencia energetica, transicion energetica, energias renovables, iso 50001, solar, eficiencia energetica, transicion energetica, energias renovables, iso 50001, auditoria energetica.",energia,taxonomy_domains,taxonomy_seed
"Vacante para especialista en gestion energetica, energia, energetica, eficiencia energetica, transicion energetica, energias renovables, iso 50001, solar, eficiencia energetica, transicion energetica, energias renovables, iso 50001, auditoria energetica. Responsabilidades: Gestion energetica, eficiencia, transicion y energias renovables..",energia,taxonomy_domains,taxonomy_seed
"Programa academico de Energia orientado a gestion energetica, energia, energetica, eficiencia energetica, transicion energetica, energias renovables, iso 50001, solar, eficiencia energetica, transicion energetica, energias renovables, iso 50001, auditoria energetica.",energia,taxonomy_domains,taxonomy_seed
"Energia requiere eficiencia energetica. Gestion energetica, eficiencia, transicion y energias renovables.",energia,skills_master,taxonomy_seed
"Energia requiere transicion energetica. Gestion energetica, eficiencia, transicion y energias renovables.",energia,skills_master,taxonomy_seed
"Energia requiere energias renovables. Gestion energetica, eficiencia, transicion y energias renovables.",energia,skills_master,taxonomy_seed
"Energia requiere iso 50001. Gestion energetica, eficiencia, transicion y energias renovables.",energia,skills_master,taxonomy_seed
"Energia requiere auditoria energetica. Gestion energetica, eficiencia, transicion y energias renovables.",energia,skills_master,taxonomy_seed
"Legal tech: Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital.. Competencias: derecho digital, legal tech, derecho informatico, proteccion de datos, habeas data, propiedad intelectual, compliance digital, contratos tecnologicos, proteccion de datos, derecho digital, contratos tecnologicos, propiedad intelectual.",legal-tech,taxonomy_domains,taxonomy_seed
"Vacante para especialista en derecho digital, legal tech, derecho informatico, proteccion de datos, habeas data, propiedad intelectual, compliance digital, contratos tecnologicos, proteccion de datos, derecho digital, contratos tecnologicos, propiedad intelectual. Responsabilidades: Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital..",legal-tech,taxonomy_domains,taxonomy_seed
"Programa academico de Legal tech orientado a derecho digital, legal tech, derecho informatico, proteccion de datos, habeas data, propiedad intelectual, compliance digital, contratos tecnologicos, proteccion de datos, derecho digital, contratos tecnologicos, propiedad intelectual.",legal-tech,taxonomy_domains,taxonomy_seed
"Legal tech requiere proteccion de datos. Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital.",legal-tech,skills_master,taxonomy_seed
"Legal tech requiere derecho digital. Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital.",legal-tech,skills_master,taxonomy_seed
"Legal tech requiere contratos tecnologicos. Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital.",legal-tech,skills_master,taxonomy_seed
"Legal tech requiere propiedad intelectual. Derecho digital, datos, tecnologia, propiedad intelectual y cumplimiento digital.",legal-tech,skills_master,taxonomy_seed
"Legal: Derecho, cumplimiento, contratacion, riesgos juridicos y regulacion.. Competencias: derecho, juridico, legal, contratacion, compliance, sarlaft, regulatorio, auditoria legal, compliance, sarlaft.",legal,taxonomy_domains,taxonomy_seed
"Vacante para especialista en derecho, juridico, legal, contratacion, compliance, sarlaft, regulatorio, auditoria legal, compliance, sarlaft. Responsabilidades: Derecho, cumplimiento, contratacion, riesgos juridicos y regulacion..",legal,taxonomy_domains,taxonomy_seed
"Programa academico de Legal orientado a derecho, juridico, legal, contratacion, compliance, sarlaft, regulatorio, auditoria legal, compliance, sarlaft.",legal,taxonomy_domains,taxonomy_seed
"Legal requiere compliance. Derecho, cumplimiento, contratacion, riesgos juridicos y regulacion.",legal,skills_master,taxonomy_seed
"Legal requiere sarlaft. Derecho, cumplimiento, contratacion, riesgos juridicos y regulacion.",legal,skills_master,taxonomy_seed
"Salud: Gestion sanitaria, salud publica, clinica, epidemiologia y calidad en salud.. Competencias: salud, clinico, hospital, epidemiologia, ips, eps, seguridad del paciente, calidad en salud, seguridad del paciente, epidemiologia.",salud,taxonomy_domains,taxonomy_seed
"Vacante para especialista en salud, clinico, hospital, epidemiologia, ips, eps, seguridad del paciente, calidad en salud, seguridad del paciente, epidemiologia. Responsabilidades: Gestion sanitaria, salud publica, clinica, epidemiologia y calidad en salud..",salud,taxonomy_domains,taxonomy_seed
"Programa academico de Salud orientado a salud, clinico, hospital, epidemiologia, ips, eps, seguridad del paciente, calidad en salud, seguridad del paciente, epidemiologia.",salud,taxonomy_domains,taxonomy_seed
"Salud requiere seguridad del paciente. Gestion sanitaria, salud publica, clinica, epidemiologia y calidad en salud.",salud,skills_master,taxonomy_seed
"Salud requiere epidemiologia. Gestion sanitaria, salud publica, clinica, epidemiologia y calidad en salud.",salud,skills_master,taxonomy_seed
"Educacion: Pedagogia, diseno curricular, aprendizaje, evaluacion y tecnologia educativa.. Competencias: educacion, pedagogia, curriculo, diseno curricular, docencia, lms, learning analytics, evaluacion educativa, diseno curricular, learning analytics.",educacion,taxonomy_domains,taxonomy_seed
"Vacante para especialista en educacion, pedagogia, curriculo, diseno curricular, docencia, lms, learning analytics, evaluacion educativa, diseno curricular, learning analytics. Responsabilidades: Pedagogia, diseno curricular, aprendizaje, evaluacion y tecnologia educativa..",educacion,taxonomy_domains,taxonomy_seed
"Programa academico de Educacion orientado a educacion, pedagogia, curriculo, diseno curricular, docencia, lms, learning analytics, evaluacion educativa, diseno curricular, learning analytics.",educacion,taxonomy_domains,taxonomy_seed
"Educacion requiere diseno curricular. Pedagogia, diseno curricular, aprendizaje, evaluacion y tecnologia educativa.",educacion,skills_master,taxonomy_seed
"Educacion requiere learning analytics. Pedagogia, diseno curricular, aprendizaje, evaluacion y tecnologia educativa.",educacion,skills_master,taxonomy_seed
"Marketing: Mercadeo, experiencia cliente, marca, performance y estrategia comercial.. Competencias: marketing, mercadeo, seo, sem, crm, growth, marca, customer experience, seo, crm.",marketing,taxonomy_domains,taxonomy_seed
"Vacante para especialista en marketing, mercadeo, seo, sem, crm, growth, marca, customer experience, seo, crm. Responsabilidades: Mercadeo, experiencia cliente, marca, performance y estrategia comercial..",marketing,taxonomy_domains,taxonomy_seed
"Programa academico de Marketing orientado a marketing, mercadeo, seo, sem, crm, growth, marca, customer experience, seo, crm.",marketing,taxonomy_domains,taxonomy_seed
"Marketing requiere seo. Mercadeo, experiencia cliente, marca, performance y estrategia comercial.",marketing,skills_master,taxonomy_seed
"Marketing requiere crm. Mercadeo, experiencia cliente, marca, performance y estrategia comercial.",marketing,skills_master,taxonomy_seed
"TI: Tecnologia, software, datos, cloud, arquitectura e infraestructura.. Competencias: tecnologia, software, desarrollo, backend, frontend, fullstack, api, cloud, python, backend, fullstack, devops.",ti,taxonomy_domains,taxonomy_seed
"Vacante para especialista en tecnologia, software, desarrollo, backend, frontend, fullstack, api, cloud, python, backend, fullstack, devops. Responsabilidades: Tecnologia, software, datos, cloud, arquitectura e infraestructura..",ti,taxonomy_domains,taxonomy_seed
"Programa academico de TI orientado a tecnologia, software, desarrollo, backend, frontend, fullstack, api, cloud, python, backend, fullstack, devops.",ti,taxonomy_domains,taxonomy_seed
"TI requiere python. Tecnologia, software, datos, cloud, arquitectura e infraestructura.",ti,skills_master,taxonomy_seed
"TI requiere backend. Tecnologia, software, datos, cloud, arquitectura e infraestructura.",ti,skills_master,taxonomy_seed
"TI requiere fullstack. Tecnologia, software, datos, cloud, arquitectura e infraestructura.",ti,skills_master,taxonomy_seed
"TI requiere devops. Tecnologia, software, datos, cloud, arquitectura e infraestructura.",ti,skills_master,taxonomy_seed
"Ciberseguridad: Seguridad informatica, riesgo tecnologico, respuesta a incidentes y privacidad.. Competencias: ciberseguridad, seguridad informatica, ethical hacking, pentesting, soc, siem, iso 27001, incidentes, iso 27001, siem.",cybersecurity,taxonomy_domains,taxonomy_seed
"Vacante para especialista en ciberseguridad, seguridad informatica, ethical hacking, pentesting, soc, siem, iso 27001, incidentes, iso 27001, siem. Responsabilidades: Seguridad informatica, riesgo tecnologico, respuesta a incidentes y privacidad..",cybersecurity,taxonomy_domains,taxonomy_seed
"Programa academico de Ciberseguridad orientado a ciberseguridad, seguridad informatica, ethical hacking, pentesting, soc, siem, iso 27001, incidentes, iso 27001, siem.",cybersecurity,taxonomy_domains,taxonomy_seed
"Ciberseguridad requiere iso 27001. Seguridad informatica, riesgo tecnologico, respuesta a incidentes y privacidad.",cybersecurity,skills_master,taxonomy_seed
"Ciberseguridad requiere siem. Seguridad informatica, riesgo tecnologico, respuesta a incidentes y privacidad.",cybersecurity,skills_master,taxonomy_seed
"Analitica: Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.. Competencias: analitica, data analytics, business intelligence, visual analytics, power bi, tableau, sql, big data, power bi, business intelligence, visual analytics, sql, big data.",analitica,taxonomy_domains,taxonomy_seed
"Vacante para especialista en analitica, data analytics, business intelligence, visual analytics, power bi, tableau, sql, big data, power bi, business intelligence, visual analytics, sql, big data. Responsabilidades: Analitica de datos, BI, visual analytics, gobierno y ciencia de datos..",analitica,taxonomy_domains,taxonomy_seed
"Programa academico de Analitica orientado a analitica, data analytics, business intelligence, visual analytics, power bi, tableau, sql, big data, power bi, business intelligence, visual analytics, sql, big data.",analitica,taxonomy_domains,taxonomy_seed
"Analitica requiere power bi. Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.",analitica,skills_master,taxonomy_seed
"Analitica requiere business intelligence. Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.",analitica,skills_master,taxonomy_seed
"Analitica requiere visual analytics. Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.",analitica,skills_master,taxonomy_seed
"Analitica requiere sql. Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.",analitica,skills_master,taxonomy_seed
"Analitica requiere big data. Analitica de datos, BI, visual analytics, gobierno y ciencia de datos.",analitica,skills_master,taxonomy_seed
"Finanzas: Finanzas corporativas, riesgos, contabilidad, auditoria y planeacion financiera.. Competencias: finanzas, financiero, contabilidad, auditoria, tributario, riesgo financiero, presupuesto.",finanzas,taxonomy_domains,taxonomy_seed
"Vacante para especialista en finanzas, financiero, contabilidad, auditoria, tributario, riesgo financiero, presupuesto. Responsabilidades: Finanzas corporativas, riesgos, contabilidad, auditoria y planeacion financiera..",finanzas,taxonomy_domains,taxonomy_seed
"Programa academico de Finanzas orientado a finanzas, financiero, contabilidad, auditoria, tributario, riesgo financiero, presupuesto.",finanzas,taxonomy_domains,taxonomy_seed
"Logistica: Cadena de suministro, operaciones, compras, transporte e inventarios.. Competencias: logistica, supply chain, abastecimiento, compras, inventarios, transporte, operaciones.",logistica,taxonomy_domains,taxonomy_seed
"Vacante para especialista en logistica, supply chain, abastecimiento, compras, inventarios, transporte, operaciones. Responsabilidades: Cadena de suministro, operaciones, compras, transporte e inventarios..",logistica,taxonomy_domains,taxonomy_seed
"Programa academico de Logistica orientado a logistica, supply chain, abastecimiento, compras, inventarios, transporte, operaciones.",logistica,taxonomy_domains,taxonomy_seed
"Gestion humana: Talento humano, cultura, seleccion, bienestar, compensacion y desarrollo.. Competencias: gestion humana, recursos humanos, talento humano, seleccion, compensacion, bienestar, cultura organizacional.",gestion_humana,taxonomy_domains,taxonomy_seed
"Vacante para especialista en gestion humana, recursos humanos, talento humano, seleccion, compensacion, bienestar, cultura organizacional. Responsabilidades: Talento humano, cultura, seleccion, bienestar, compensacion y desarrollo..",gestion_humana,taxonomy_domains,taxonomy_seed
"Programa academico de Gestion humana orientado a gestion humana, recursos humanos, talento humano, seleccion, compensacion, bienestar, cultura organizacional.",gestion_humana,taxonomy_domains,taxonomy_seed
"Management: Direccion, estrategia, gerencia, proyectos, liderazgo y transformacion.. Competencias: alta gerencia, gerencia, management, direccion, estrategia, liderazgo, gestion de proyectos, transformacion, gestion de proyectos, liderazgo.",management,taxonomy_domains,taxonomy_seed
"Vacante para especialista en alta gerencia, gerencia, management, direccion, estrategia, liderazgo, gestion de proyectos, transformacion, gestion de proyectos, liderazgo. Responsabilidades: Direccion, estrategia, gerencia, proyectos, liderazgo y transformacion..",management,taxonomy_domains,taxonomy_seed
"Programa academico de Management orientado a alta gerencia, gerencia, management, direccion, estrategia, liderazgo, gestion de proyectos, transformacion, gestion de proyectos, liderazgo.",management,taxonomy_domains,taxonomy_seed
"Management requiere gestion de proyectos. Direccion, estrategia, gerencia, proyectos, liderazgo y transformacion.",management,skills_master,taxonomy_seed
"Management requiere liderazgo. Direccion, estrategia, gerencia, proyectos, liderazgo y transformacion.",management,skills_master,taxonomy_seed
